Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
r		2.1.1,2.4.2	produce	produs	-cu|can	kre.are	proju	smu	cur		$x_1$ makes product (xo) $x_2*$ by process (vo) $x_3+1$	
t		2.1.2	Other Abstract Behaviors	-	-	-			212		actor $x_1$ does action (vo) $x_2+1$	
r		2.1.2	do	du	!ban	fak.ere	durzo		ban		$x_1$ performs the behavior associated with thing $x_2*$	This word is out of favor.  Find a predicate and make a metaphor with X2, e.g. -zou -fw -guna rather than -ban -guna for ``slither''.
r		2.1.2	ready	redi	!u!bei|hau	parat.us	bredi		bei		$x_1$ is ready to do (vo) $x_2:+1$	
r		2.1.2	free	fri	/sui!bian	lyber	frezi	sir	biy		$x_1$ is free to do (vo) $x_2:+1$	
r		2.1.2	succeed	s#ksid	/cew-guw	flor.ere	suksi	qai	flr		$x_1$ succeeds in doing (vo) $x_2:+1$	
r		2.1.2	attempt,try	atempt	!qr	kon.ary	trati		qem		$x_1$ attempts to do (vo) $x_2:+1$	No connotation of success or failure.
r		2.1.2	exercise	eksrsaiz	!iun!duw	ekserk.ere			ser		$x_1$ does exercise (vo) $x_2+1$ to improve capability or body part $x_3-1*$  	
r		2.1.2	respond,stimulus	rispand	|siaw!iw		ponda		swi		$x_1$ responds with behavior (vo) $x_2+1$ to stimulus (vo) $x_3@$	
r		2.1.2,1.5.1	use,means,end,by~means~of	iuz	!iuw	uty	plizo	tum	ziu		$x_1$ uses means $x_2$ for purpose (vo) $x_3+1$	Typically X2 is an object and X3 is done by means of X2.  In a subordinate clause autoconversion leaves X2 as the 2nd case.
r		2.1.2,1.5.4	avoid,evade,shun,refrain,doesnt,dont	avoid	!bi|mian	vyt.are	rivbi*		voi		$x_1$ avoids having (vo) $x_2:+1$ happen	Example: avoid meeting a person.
r		2.1.2,1.5.6	action	akqn	/qyng/uey	ag.ere	kakto	cfa	qyn		$x_1$ does (vo) $x_2:+1$	Emphasizes the actor.
r		2.1.2,1.5.6	behave	bihav	/qyw|wei	ger.ere	bivdu		qyw		$x_1$ behaves in manner (vo) $x_2+1$ in situation (vo) $x_3+1@$	
t		2.1.3	Abstract Passive Events	-	-	-			213		victim $x_1$ has event (vo) $x_2+1$ happen to it	
r		2.1.3	peril,safe	saif	-an/cuan	tut.us	curca	dan	cua		$x_1$ is safe from peril (vo) $x_2:+1$	
r		2.1.3	danger,peril	danjr	/uei|sian	perykul.um	denro	cua	dan		$x_1$ is in danger of having (vo) $x_2:+1$ happen to it	X2 is the peril.
r		2.1.3	wait	uait	|d#w	oper.yry	pazda		dwo		$x_1$ waits for (vo) $x_2:+$ before doing action (vo) $x_3+1@$	X2 compounds, X3 doesn't.  X2 lacks case merge, X3 has one.
r		2.1.3	survive,endure	srvaiv	-qew/tsu#n	superese	renvi*		sre		$x_1$ survives (vo) $x_2:+1$	
r		2.1.3	tragedy,disaster	trajedi	/tsan!qr	klad.es	betri*		tre		$x_1$ tragically has (vo) $x_2:+1$ happen to it	
r		2.1.3	luck,fortunate	l#k	-qyw!iun	fortuna	funca*	psm	qun		it is lucky that $x_1:$ has (vo) $x_2:+1$ happen to it	X2 is not necessarily an accident.
r		2.1.3	revenge	rivenj	!bau/cou	ulkysky	venfu*		vou		$x_1$ gets revenge for (vo) $x_2:+1$ by taking action (vo) $x_3+1@$	X2 often will have to be converted due to case merge.
r		2.1.3	doom,destiny,fate	dum	!miw!iun	sors	dimna*		xum		$x_1$ is doomed to be or do (vo) $x_2:+1$	What fate determines.  -xum -can -xtu for doomed to die, the usual English meaning. 
t		2.1.4	Relation of Actor to Behavior	-	-	-			214		actor $x_1$ has a certain relation to his action (vo) $x_2+1$	
r		2.1.4	desire,want	disair	!u!uaw	apet.ere	danza	bni	daw		$x_1$ desires to do (vo) $x_2:+1$	
r		2.1.4	talent	talnt	-tian/tsai	yngeny.um	stati*		gen		$x_1$ has a talent for (vo) $x_2:+1$	
r		2.1.4	intend	yntend	!ci/tu	kogyt.are			gye		$x_1$ intends to do (vo) $x_2:+1$	Not necessarily actually done.
r		2.1.4	competent	kampetent	|new!gan	posse	spuro	toa,smi	pew		$x_1$ is competent in doing (vo) $x_2:+1$	
r		2.1.4	responsible,authority	responsybl	!fu/dz	praest.are	daspa	toa	poy		$x_1$ is responsible for (vo) $x_2:+1$ to authority $x_3$	
r		2.1.4	hope	hop	-si!uaw	sp.es	spopa		swo		$x_1$ hopes for (vo) $x_2:+1$ to happen	
r		2.1.4	authority	autoryti	/cuan!li	auktor	tcori	per,poy,pew	toa		$x_1$ is an authority in/on/over (vo) $x_2:+1$	Use -per for power, -pew for skill.  Authority implies power to act or compel.
t		2.1.5	Categories of Abstract Behaviors	-	-	-			215		actor $x_1$ performs action (vo) $x_2+1$ in a certain way	
r		2.1.5	broken,inoperable	brokn	!huai-le		spofu*	sao,brn	bro		$x_1$ doesn't do (vo) $x_2:+1$ because it is broken	Use causal connective to say what it does do.  -brn for broken in pieces.
r		2.1.5	clown,levity	kloun	|siau|cou	rustyk.us	xalbo*		cou		$x_1$ is clowning by doing (vo) $x_2:+1$	
r		2.1.5	manual	maniual	|so-gow	manu	macnu	zom	gma		$x_1$ performs (vo) $x_2:+1$ manually	Requiring close human supervision or operation.
r		2.1.5	behave,conduct	kondukt	|pin!qyw	ger.ere	tarti*		kon		$x_1$ behaves characteristically for a member of set (xu) $x_2*$ by doing action (vo) $x_3+1$	Does not imply that every member of X2 does X3, nor that X1 is in X2.
r		2.1.5	obey,follow	obei	-dzun|qou	par.ere	tinbe*	dwl,gul,kmi	zno		$x_1$ does (vo) $x_2:+1$ in obedience to the order or rule (vo) $x_3+1@$ given by authority $x_4$	
r		2.1.5	automatic,initiative	atomatyk	!dz!dong		tomki	sao,gma	zom		$x_1$ performs (vo) $x_2:+1$ automatically	Without the intervention of another controller or actor.  Usually a machine but can be a person.
r		2.1.5,1.2.3	audacity,chutzpah	audasyti	!da|dan/u|c#	audaks	darsi*		dau		$x_1$ audaciously does (vo) $x_2:+1$	X1 relies on a victim's surprise or outrage to get away with X2.
r		2.1.5,1.2.3	stubborn	stubrn	/uan!gu	pertynaks	xarnu*		tyn		$x_1$ stubbornly continues to do (vo) $x_2:+1$	
r		2.1.5,2.1.7	play,game	plai	/uan	lud.ere	pleci		plu		$x_1$ plays game (vo) $x_2:+1$	Use -plu -ziu for playing with an object.
r		2.1.5,2.5.2	amuse,fun,enjoy	amiuz	-qyau|cien	delect.are	cmiza	vyu,kqn	qya		$x_1$ has fun, is amused by doing (vo) $x_2:+1$	If amused by an object, X2 is a phrase about what it is/does.
r		2.1.5,4.7.2	job,work	jab	-guw!dzuo	op.us	turka		bwo		$x_1$ works on job (vo) $x_2:+1$	
t		2.1.6	Double Actor Transitive Activities	-	-	-			216		main~actor $x_1$ makes actor $x_2$ do action (vo) $x_3+2$	See also 2.3.3 Influencing Other People
r		2.1.6	obstacle,obstruct	obstakl	!jan!gai	obeks	bladu*	drm	beo		$x_1$ is an obstacle keeping $x_2:$ from doing (vo) $x_3:+2$	An obstacle is passive.  Hinders but not necessarily prevents.
r		2.1.6	help	help	-baw!ju	yuv.are	helba	juou	bwu		$x_1$ helps $x_2:$ to do (vo) $x_3:+2$	
r		2.1.6	interfere,hinder	hyndr	|dzu|jr	ymped.yre	minzu*	sir,beo	drm		$x_1$ hinders $x_2:$ from doing (vo) $x_3:+2$	Not necessarily prevents it.  X1 acts actively.
r		2.1.6	induce	yndus	!suei/fu	ynduk.ere		fow	due		$x_1$ induces $x_2:$ to do (vo) $x_3:+2$	
r		2.1.6	force	fors	/qiaw-bi	kog.ere	fosli	due	fow		$x_1$ forces $x_2:$ to do (vo) $x_3:+2$	
r		2.1.6	allow	alau	|ju#n	syn.ere	letci	tuw	juy		$x_1$ allows $x_2:$ to do (vo) $x_3:+2$	
r		2.1.6	interrupt,disturb	ynter#pt	-juw!duan	ynterf.ary	draba		jyn		$x_1$ interrupts $x_2:$ from doing (vo) $x_3:+2$	Forces temporary stop.
r		2.1.6	command	komand	!miw!liw	yub.ere	korji	gul,dwl,zno,pli	kmi		$x_1$ commands $x_2:$ to do (vo) $x_3:+2$	
r		2.1.6	restrain	ristrain	!sian!jr	koerk.ere	litnu	biy,drm	sir		$x_1$ restrains $x_2:$ from doing (vo) $x_3:+2$	X1 is active and does prevent X3.
r		2.1.6,2.4.4	control	kntrol	|guan/sia	koerk.ere	troli	sao	kro		$x_1$ controls $x_2:$ in activity (vo) $x_3:+2$	X2 can be a person or an object.
r		2.1.6,4.7.1	demand,right	dimand	-iau/ciou	poskere		gul,dmo,fai	cim		$x_1$ demands that $x_2:$ do (vo) $x_3:+2$	Often X1 is the 2nd case of X3, but no automatic merge for this.  X3 should be X2 of -gul (rule).  X3 is X1's right.
t		2.1.7	Activities by a Pair or Group of Actors	-	-	-			217		competitor $x_1$ and competitor $x_2$ do activity (vo) $x_3+1$,2	
r		2.1.7	compete,prize	kompit	|bi!sai	kert.are	kanpi	vyw	bim		$x_1$ competes with $x_2:$ in activity (vo) $x_3+1$,2 for prize $x_4$	In team sports X1 and X2 are teams.  In typical races X2 is all the other competitors in extension.
r		2.1.7	soccer,football	sakr	/dzu/co		futbo		cor		team (xy) $x_1s$ plays football with team (xy) $x_2s$	Typically soccer.  Use -cor |fw -vanl (olive ball) for American football, per Chinese.
r		2.1.7	billiards	byliards	!cuaw/cio		bilra		cwi		$x_1$ plays billiards with $x_2:$	
r		2.1.7	fight	fait	|da!jia	pugn.are	kamda	dar	dai		$x_1$ fights with $x_2:$ about affair (vo) $x_3+$	No case merge for X3.
r		2.1.7	war	uar	|da!jaw	bel.um	dorja	dai	dar		$x_1$ is at war with $x_2:$ about affair (vo) $x_3+$	War is a serious, prolonged and bitter fight.
r		2.1.7	court,flirt	flrt	!mai!now-fow/cyw	subland.yry	sekci	koi	fla		$x_1$ flirts with, courts $x_2:$	Not symmetrical.
r		2.1.7	copulate	kopiulat	-siw!jiau	koit.us	kitsa	fla	koi		$x_1$ copulates with $x_2:$	Use -vr (q.v.) to produce a symmetrical meaning.
r		2.1.7	kiss	kys	-jie|wen	oskul.ary	skesa		kul		$x_1$ kisses $x_2:$	
r		2.1.7	dance	dans	!tiau|u	salt.are	danse		sal		dancers (xy) $x_1s$ dance $x_2*$	X1 is a set of dancers.  X2 is the name or type of the dance.
r		2.1.7	together,all	tugetr	!iy/tuw	kunkt.us	kinci		tun		all the members of set (xy) $x_1s$ do activity (vo) $x_2+S1$ together	
r		2.1.7	win,prize,lose,compete	uyn	/iyw	vynk.ere	gancu	bim	vyw		$x_1$ wins prize $x_2$ for doing feat (vo) $x_3+1+4;$ losers $x_4$	
r		2.1.7,1.1.4	oppose	opoz	|fan!duei	opon.ere	pozfa		poe		$x_1$ opposes $x_2:$ in issue (vo) $x_3+$	
r		2.1.7,1.1.4	interact	yntrakt	-jiau-tuw		socli	qcy,jiy	twa		$x_1$ interacts with $x_2:$ in affair (vo) $x_3+$	X1 and X2 are typically people.
r		2.1.7,2.3.1	argue	argiu	!bian!lun	dysput.are	targo		biu		$x_1$ argues with $x_2:$ about affair (vo) $x_3+$	No case merge for X3.
r		2.1.7,2.3.1	discuss	dysk#s	-qaw-liaw	dyskept.are	dislu	kuo	dyw		the members of set (xy) $x_1s$ discuss affair (vo) $x_2+$	No case merge.
r		2.1.7,2.3.1	talk	talk	-quo!hua	lokuy	takna	dyw	kuo		$x_1$ talks to listener $x_2$ about affair (vo) $x_3+$	Let -vo turn objects into events.  -kuo is unsymmetrical; -dyw is symmetric.
t		2.2.0	Motion Words	-	-	-			220			Often combined with directional properties (1.4.0).  They compound with cases X1 and X2.  Note the very regular arguments.
t		2.2.1	Motions that Humans Do	-	-	-			221		mover $x_1$ moves to destination $x_2$ from origin $x_3$ via route $x_4$	
r		2.2.1	climb	klaim	/pa	scand.ere	cpare*		cam		$x_1$ climbs to $x_2:$ from $x_3:$ via $x_4:*$	Climb a tree: the tree is X4.  One can climb down too.
r		2.2.1	return	ritrn	/huei!ciu	red.ere	xutre*		cir		$x_1$ returns to $x_2:$ from $x_3:$ via $x_4:$	Implies X1 went from X2 to X3.
r	13	2.2.1	go	go	!cu	yre	godzo	duw	cyr		$x_1$ goes to $x_2:$ from $x_3:$ via $x_4:$	Emphasizes the change of location.
r		2.2.1	move	muv	/siw!duw	mov.ery	muvdo	cyr,qkm	duw		$x_1$ moves to $x_2:$ from $x_3:$ via $x_4:$	Emphasizes the process of moving rather than the location change or the manner of movement.  Use -qkm for ``it moves its legs''.
r		2.2.1	fall	fal	!luo!sia	kad.ere	felda		kal		$x_1$ falls to $x_2:$ from $x_3:$ via $x_4:$	
r		2.2.1	swim	suym	/iou|iuw	nare	sucmi		suy		$x_1$ swims to $x_2:$ from $x_3:$ via $x_4:$	
r		2.2.1	jump	j#mp	!tiau	sal.yre	volti		tal		$x_1$ jumps to $x_2:$ from $x_3:$ via $x_4:$	
r		2.2.1	travel	travl	!liu/siw	yter	traci		vlw		$x_1$ travels to $x_2:$ from $x_3:$ via $x_4:$	Going outside of X1's usual territory.
r		2.2.1	come	kum	/lai	ven.yre	kamla		vnl		$x_1$ comes to $x_2:$ from $x_3:$ via $x_4:$	Gets nearer the speaker.
r		2.2.1	roundtrip	raundtryp	/lai/huei			cyr	xau		$x_1$ makes a round trip to $x_2:$ from $x_3:$ and back, via $x_4:$	X1 ends up at X3.
r		2.2.1,2.2.2	run,gallop	r#n	|pau	kur.ere	prano		pur		$x_1$ runs to $x_2:$ from $x_3:$ via $x_4:$	Includes gallop for quadrupeds.
r		2.2.1,2.2.2	trot,jog	trat	/qiau|pau	grad.us	jetru*		xra		$x_1$ trots to $x_2:$ from $x_3:$ via $x_4:$	Includes the bipedal slow run called jogging.
r		2.2.1,2.2.2	walk	ualk	|dzou	ambul.are	dzoru		zou		$x_1$ walks to $x_2:$ from $x_3:$ via $x_4:$	For both bipeds and quadrupeds.
t		2.2.2	Motions of Animals and Objects  	-	-	-			222		mover $x_1$ moves to destination $x_2$ from origin $x_3$ via route $x_4$	
r		2.2.2	canter	kantr	!man|pao		jetru*		cma		$x_1$ canters to $x_2:$ from $x_3:$ via $x_4:$	
r		2.2.2	dive,swoop	dayv	!tu/ran!sia/jue	uryn.ary	sfubu*		day		$x_1$ swoops to $x_2:$ from $x_3:$ via $x_4:$	Use -tal for diving into a pool.  Swooper stays airborne.
r		2.2.2	fly	flai	-fei	vol.are	fleti		fli		$x_1$ flies to $x_2:$ from $x_3:$ via $x_4:$	Use -dri -fli for pilot.
r		2.2.2	float	flot	/fu	yn.are	flofu		flo		$x_1$ floats to $x_2:$ from $x_3:$ via $x_4:*$	
r		2.2.2	flow	flo	/lio!duw	flu.ere	kroli	pai	flu		$x_1$ flows to $x_2:$ from $x_3:$ via $x_4:$	Rivers don't flow; the water in them does.  Use -zna to get motion word arguments for a river.
r		2.2.2	hang	haw	!gua	pend.ere	pendi		gue		$x_1$ hangs to $x_2:$ from support $x_3*:$ via $x_4:$	
r		2.2.2	soak,absorb	sok	!jin	byb.ere	cokcu*		jio		$x_1*$ soaks into $x_2:$ from $x_3$ via $x_4$	X2 is often considered the actor.
r	10	2.2.2	turn,axis,angle,rotate	turn	|juan	konvers.yo	trana	xye,sye	jur		$x_1$ turns to angle $x_2$ from $x_3:$ around axis $x_4$	Alternatively, |syo for axis.  See -xye, -sye for rotation directions.
r		2.2.2	collide,crash	kolid	-siaw!juaw	konflyg.ere	janli*	fey	kol		$x_1$ crashes into target $x_2$ from $x_3:$ via $x_4:$	
r		2.2.2	drain,empty	drain	/pai|quei	syk.are	godru	flu	pai		$x_1$ drains into $x_2:$ from $x_3:$ via $x_4:$	X3 becomes empty, usually by gravity flow.
r		2.2.2	spread	spred	-pu	pand.ere	kuspo	ten	pue		$x_1$ spreads over or into $x_2:$ from $x_3:$ via $x_4:$	Dynamic, moving.
r		2.2.2	slide,slip	slaid	/hua	laby	clidu		sla		$x_1$ slips, slides to $x_2:$ from $x_3:$ via $x_4:$	
r		2.2.2	roll	rol	-gun	volvy	gunro*		vol		$x_1$ rolls to $x_2:$ from $x_3:$ via $x_4:$	Moves on wheels, including turning the whole X1.
t		2.2.3	Transitive Motions	-	-	-			223		actor $x_1$ makes cargo $x_2$ move to destination $x_3$ from origin $x_4$ via route $x_5$	Directional properties compound with cases X2 and X3 (mostly).
r		2.2.3	excrete,throw~away,dump	ekskrit	-diou!diau	abyk.ere	sirmi*	dou	dio		$x_1$ excretes excreta $x_2*$ into $x_3:$ from $x_4:$ via $x_5:$	Also for throwing away trash.
r		2.2.3	throw	trou	-diou	yak.ere	renro	dio	dou		$x_1$ throws missile $x_2*$ to $x_3:$ from $x_4:$ via $x_5:$	X1 can be a machine or launcher.
r		2.2.3	drive,ride,vehicle	draiv	!jia|qr	vehy	krani		dri		driver $x_1$ drives vehicle $x_2*$ to $x_3:$ from $x_4:$ via $x_5:$	For vehicles and riding animals.
r		2.2.3	guide	gaid	!dai!lu	duk.ere	glida		dui		guide $x_1$ guides follower $x_2*$ to $x_3:$ from $x_4:$ via $x_5:$	
r		2.2.3	carry	kari	-tiau	fere	berti		fer		$x_1$ carries cargo $x_2*$ to $x_3:$ from $x_4:$ via $x_5:$	
r		2.2.3	push	p#q	-tuei	pel.ere	pucto		pei		$x_1$ pushes $x_2*$ to $x_3:$ from $x_4:$ via $x_5:$	
r		2.2.3	send,messenger	send	!suw	myt.ere	sundi	qly	suw		$x_1$ sends $x_2*$ to $x_3:$ from $x_4:$ via carrier $x_5$	
r		2.2.3	suck,suction,vacuum	s#k	-si	sug.ere	sakci*	jeum	swu		$x_1$ sucks substance $x_2*$ into $x_3:$ from $x_4:$ via $x_5:$	
r		2.2.3	set,place,put	p#t	!faw	statu.ere	setfa		taw		$x_1$ sets, places $x_2*$ at or on $x_3:$ from $x_4:$ via $x_5:$	
r		2.2.3	lift,lower	lyft	|jiu	tol.ere	lufta		tol		$x_1$ lifts $x_2*$ to $x_3:$ from $x_4:$ via $x_5:$	Use -vry -tol for lowering or un-lifting.
r		2.2.3	pull,drag	p#l	-la	trah.ere	cpula		trl		$x_1$ pulls $x_2*$ to $x_3:$ from $x_4:$ via $x_5:$	
r		2.2.3,2.3.2	mail,post	mail	/iou!ji	lyterae	mrilu*	suw	qly		$x_1$ mails letter $x_2*$ to $x_3:$ from $x_4:$ via $x_5:$	X5 is typically the carrier.
t		2.2.4	Transitive Quasi-motions	-	-	-			224		actor $x_1$ makes cargo $x_2$ move to destination $x_3$ from origin $x_4$ via route $x_5$	
r		2.2.4	gather	gatr	/qr|ci	leg.ere	jmaji*	gew	gle		$x_1$ gathers (xo) $x_2:*$ from source $x_3$	X2 is multi-repeated.
r		2.2.4	get	get	/de	kap.ere	getsi	gey,kio	gew		$x_1$ gets $x_2:*$ from custodian $x_3$	X3 can be a non-active reserve.  X1 comes to possess X2 (-kio).  Not for begetting.
r		2.2.4	give	gyv	|gei	d.are	donsu	kio,gew	gey		$x_1$ gives gift $x_2*$ to recipient $x_3$	
r		2.2.4	seek,search,look	src	/siun|jau	kuaer.ere	sisku*		jua		$x_1$ searches for goal $x_2*$ in or at territory $x_3$	
r		2.2.4	pursue,quarry,hunt	h#nt	/siun!jau	ven.ary	janto		jun		$x_1$ hunts, pursues quarry $x_2*$	Strictly speaking, if X1 is not yet after a specific prey item you should say -xo -gu -X2.
r		2.2.4	harvest,reap	harvest	-qou-ge	met.ere	crepu*		qoe		$x_1$ harvests or reaps crop (xo) $x_2*$ from field $x_3$	X2 is multi-repeated.
r		2.2.4	sow,plant	plant	|sa|juw	ser.ere	sombo*		san		$x_1$ plants $x_2*$ at or in field $x_3$	Putting a plant or seed into soil.
t		2.2.5	Static Quasi-motions	-	-	-			225			
r		2.2.5	balance	balans	/piw/hew	kompenso	balpi		peo		$x_1$ balances	Use -tuo or -qmy for the support.
r		2.2.5	load,deflect,bend	diflekt	-uan-ciu	deflekt.ere		vbn	fle		$x_1$ deflects under load $x_2*$	
r		2.2.5	lay,lie,recline	lai	!faw!sia	pon.ere	vreta*	sio,duo,jan	fwi		$x_1$ lays on or in bed $x_2$	Includes inanimate X1, horizontally oriented.  Use -can -fwi for lays down.
r		2.2.5	stand	stand	!jan	st.are	stali	fwi	jan		$x_1$ stands on or in $x_2:$	For animate X1 on its feet, or vertical inanimate X1.  Use -can -jan for stands up.
r		2.2.5	rest,repose	rest	-siou-si	pon.ere	resto	fwi	sio		$x_1$ rests or reposes on bed $x_2$	For animate X1 that is resting.  Use -fwi for recline.
r		2.2.5	sit	syt	!dzuo	sed.ere	skitu	fwi	duo		$x_1$ sits on or in seat $x_2$	For animate X1 with its thorax vertical.  Use -can -duo for sits down.
r		2.2.5	stretch	strec	-la/caw	tend.ere	tetcu	pue,gzy	ten		$x_1$ stretches to destination $x_2$ from origin $x_3$ via route $x_4$	Static, not moving over.
r	16	2.2.5	stick,adhere	styk	-tie	fyg.ere	gomni	glue,fen	tye		$x_1$ sticks, adheres to substrate $x_2$ by means of glue (xo) $x_3*$	Insects and seeds also use spines and hooks for X3.
r		2.2.5	load,twist	tuyst	|niou	torku.ere	torni		tou		$x_1$ twists under load $x_2$	
t		2.2.6	Dynamic Quasi-motions and Falling Weather	-	-	-			226			
r		2.2.6	explode	eksplod	!bau!ja	dyrumpy	zbuma		dym		$x_1$ explodes into pieces $x_2$	
r		2.2.6	gymnast	jimnast	|ti-tsau	gimnyk.us	gimna		tim		gymnast $x_1$ does gymnastic feat (vo) $x_2+1$	
r		2.2.6	step	step	|dzou	grady	buste		zoy		$x_1$ steps on or in $x_2$	
r		2.2.6,1.5.5	exchange,trade,back	ekscainj	!diau!huan	permut.are		dia	din		$x_1$ trades places with $x_2:$ via route $x_3$	As decoration, means ``back'' as in ``hit him back''.
t		2.2.7	Routes	-	-	-			227		route $x_1$ leads to destination $x_2$ from origin $x_3$ via route $x_4$	The arguments are the same as for ordinary motion words.
r		2.2.7	road,street	rod	!lu	vya	rodlu	vyie	vya		$x_1$ is a road to $x_2:$ from $x_3:$ via $x_4:$	
r		2.2.7	canal,river	kanal	!iun/he	fosa	kanla		zna		$x_1$ is a canal to $x_2:$ from $x_3:$ via $x_4:$	Includes natural rivers as routes.
r		2.2.7	route	rut	!lu	kurs.us	rutma		zur		$x_1$ is a route to $x_2:$ from $x_3:$ via $x_4:$	Compounding example: -zur -ze -zou for trail or walkway.
t		2.3.0	Communication and Mental Activity	-	-	-			230			
t		2.3.1	Outgoing Communication Like Speech	-	-	-			231		speaker $x_1$ says message (bi) $x_2$ to listener $x_3$	
r		2.3.1	show,exhibit,display	qo	|gei!kan	ekshybyt	jarco*		gea		$x_1$ shows object $x_2$ to viewer $x_3$	
r		2.3.1	greet,hail,hello,goodbye	grit	!uen!hou	salut.are	rinsa*	qnu	glu		(ji) $x_1:M2$ greets or hails listener (ju) $x_3M3$ with signal (bi) $x_2$	^glu alone means hello, while ^gr -glu means goodbye.  ^gl -glu is a nice insult.
r		2.3.1	quote	kuot	|iw!iuw	adf.ere			kuw		(ji) $x_1M2$ quotes (bi) $x_2:+$ to (ju) $x_3:M3$, author $x_4$	Saying a text exactly as written.  When -kuw is the main predicate of a sentence you may need !vn -X2 to suppress default -bi.
r		2.3.1	explain	eksplain	|jie!qr	ekspon.ere	spaci*		pie		(ji) $x_1M2$ explains event (vo) $x_2+$ to (ju) $x_3:M3$	
r		2.3.1	respond,answer	ansr	/huei/da	respond.ere	dapli	xue,pon	srn		(ji) $x_1M2$ gives answer (bi) $x_2+$ to question (bi) $x_3@$ speaking to (ju) $x_4:M2$	
r		2.3.1	ask,question	ask	!uen	rog.are	kenti	srn,pon,stm	xue		(ji) $x_1M2$ asks question (bi) $x_2+$ of (ju) $x_3:M3$	
r	56	2.3.1,1.5.1	say	sai	|jiaw	dyk.ere	cutse	qnu,sai	jai		(ji) $x_1M2$ says (bi) $x_2:+$ to (ju) $x_3:M3$	Modal case for speaker, and listener in dialog.
r		2.3.1,1.5.2	cry	krai	!jiau	klamor	kraku	faw,kli	kam		(ji) $x_1M2$ cries (bi) $x_2:+$ to listener (ju) $x_3M3$	Emotional upset, often but not necessarily loud.  Use -jai |kqe for shout.
r	12	2.3.1,1.5.5	emphatic	emfatyk	/ciaw!diau	vihemens	basna*	kam	faw		(ji) $x_1M2$ says (bi) $x_2:$ emphatically to (ju) $x_3:M3$	The written equivalent of loud or otherwise forceful speech.
r		2.3.1,4.4.6	say,utter,language	utr	-quo	ef.ary	bacru*	gua	quo		$x_1$ utters (bi) $x_2:+$ in language $x_3$	Focus on linguistic aspect.
t		2.3.2	Other Outgoing Communication	-	-	-			232		performer $x_1$ performs art $x_2$	
r		2.3.2	song,sing	syw	!caw	kan.ere	gritu		caw		$x_1M2$ sings song $x_2$ for audience (xy) $x_3sM3$	
r		2.3.2	perform	prform	!si	fungy	tigni*		fom		$x_1$ performs work of art $x_2$ for audience (xy) $x_3s$	
r		2.3.2	write	rait	|sie	skryb.ere	srite	pym	kry		$x_1$ writes message (bi) $x_2+$ on media $x_3$	
r		2.3.2	print	prynt	!in	ymprym.ere	prina*	fpr,kry	pym		$x_1$ prints message (bi) $x_2+$ on media $x_3$	Using a machine rather than handwriting.
r		2.3.2	music,whistle	huysl	-cuei|kou!qau	sybyl.are	caslo		sly		$x_1$ whistles music $x_2$	
r		2.3.2,1.5.2	think	tynk	|siaw	kogyt.are	penso	swy	koy		(ji) $x_1M2$ thinks thought (bi) $x_2+$ to listener (zdmo) $x_3M3$	Alternative modal case for speaker.  Except for psychic X1, X3 always defaults to copy X1.
t		2.3.3	Influencing Other People	-	-	-			233		speaker $x_1$ tells listener $x_2$ about event (vo) $x_3+$	No case merge for X3.
